task,shift_type,holdout,repeat,policy,epsilon,policy_constructed,calibration_coverage,calibration_ucb95,ood_coverage,ood_retained_mae,risk_violation,risk_breach,coverage_failure,operational_failure
log_kvrh,element,Li,2,geometry_rf_distance_hybrid,0.15,True,1.0,0.1093291344205685,1.0,0.2344959729362487,0.0844959729362487,True,False,True
log_kvrh,element,Li,2,geometry_rf_ensemble_std,0.15,True,1.0,0.1097000411194466,1.0,0.2344959729362487,0.0844959729362487,True,False,True
log_kvrh,element,Li,3,geometry_descriptor_distance,0.15,True,1.0,0.1023437410617034,1.0,0.2331045093637243,0.0831045093637243,True,False,True
log_kvrh,element,Li,3,geometry_rf_distance_hybrid,0.15,True,1.0,0.1024737413169285,1.0,0.2331045093637243,0.0831045093637243,True,False,True
log_kvrh,element,Li,3,geometry_rf_ensemble_std,0.15,True,1.0,0.1025757433165569,1.0,0.2331045093637243,0.0831045093637243,True,False,True
log_kvrh,element,Li,4,geometry_descriptor_distance,0.15,True,1.0,0.1124185250098608,1.0,0.2327665504595625,0.0827665504595625,True,False,True
log_kvrh,element,Li,4,geometry_rf_distance_hybrid,0.15,True,1.0,0.1129075727932078,1.0,0.2327665504595625,0.0827665504595625,True,False,True
log_kvrh,element,Li,4,geometry_rf_ensemble_std,0.15,True,1.0,0.1115299363419504,1.0,0.2327665504595625,0.0827665504595625,True,False,True
log_kvrh,element,Mg,0,geometry_descriptor_distance,0.15,True,1.0,0.1023593978458816,1.0,0.1304268776726743,-0.0195731223273256,False,False,False
log_kvrh,element,Mg,0,geometry_rf_distance_hybrid,0.15,True,1.0,0.1029271095004874,1.0,0.1304268776726743,-0.0195731223273256,False,False,False
log_kvrh,element,Mg,0,geometry_rf_ensemble_std,0.15,True,1.0,0.1027473561732417,1.0,0.1304268776726743,-0.0195731223273256,False,False,False
log_kvrh,element,Mg,1,geometry_descriptor_distance,0.15,True,1.0,0.1051575863103857,1.0,0.1301823008418285,-0.0198176991581714,False,False,False
log_kvrh,element,Mg,1,geometry_rf_distance_hybrid,0.15,True,1.0,0.105063382356102,1.0,0.1301823008418285,-0.0198176991581714,False,False,False
log_kvrh,element,Mg,1,geometry_rf_ensemble_std,0.15,True,1.0,0.105289378360765,1.0,0.1301823008418285,-0.0198176991581714,False,False,False
log_kvrh,element,Mg,2,geometry_descriptor_distance,0.15,True,1.0,0.1061316755896987,1.0,0.1313713839747806,-0.0186286160252193,False,False,False
log_kvrh,element,Mg,2,geometry_rf_distance_hybrid,0.15,True,1.0,0.1052849192552133,1.0,0.1313713839747806,-0.0186286160252193,False,False,False
log_kvrh,element,Mg,2,geometry_rf_ensemble_std,0.15,True,1.0,0.105579807202809,1.0,0.1313713839747806,-0.0186286160252193,False,False,False
log_kvrh,element,Mg,3,geometry_descriptor_distance,0.15,True,1.0,0.1085959902882823,1.0,0.1315138541122629,-0.018486145887737,False,False,False
log_kvrh,element,Mg,3,geometry_rf_distance_hybrid,0.15,True,1.0,0.1082257506487867,1.0,0.1315138541122629,-0.018486145887737,False,False,False
log_kvrh,element,Mg,3,geometry_rf_ensemble_std,0.15,True,1.0,0.1096428127251725,1.0,0.1315138541122629,-0.018486145887737,False,False,False
log_kvrh,element,Mg,4,geometry_descriptor_distance,0.15,True,1.0,0.1072224056191337,1.0,0.133601339468923,-0.0163986605310769,False,False,False
log_kvrh,element,Mg,4,geometry_rf_distance_hybrid,0.15,True,1.0,0.1080629803252864,1.0,0.133601339468923,-0.0163986605310769,False,False,False
log_kvrh,element,Mg,4,geometry_rf_ensemble_std,0.15,True,1.0,0.1083876305951652,1.0,0.133601339468923,-0.0163986605310769,False,False,False
log_kvrh,element,O,0,geometry_descriptor_distance,0.15,True,1.0,0.0920053444852336,1.0,0.190643746000571,0.040643746000571,True,False,True
log_kvrh,element,O,0,geometry_rf_distance_hybrid,0.15,True,1.0,0.09196155658636,1.0,0.190643746000571,0.040643746000571,True,False,True
log_kvrh,element,O,0,geometry_rf_ensemble_std,0.15,True,1.0,0.092249540340626,1.0,0.190643746000571,0.040643746000571,True,False,True
log_kvrh,element,O,1,geometry_descriptor_distance,0.15,True,1.0,0.0942482678469136,1.0,0.188547119380751,0.038547119380751,True,False,True
log_kvrh,element,O,1,geometry_rf_distance_hybrid,0.15,True,1.0,0.0953921358070017,1.0,0.188547119380751,0.038547119380751,True,False,True
log_kvrh,element,O,1,geometry_rf_ensemble_std,0.15,True,1.0,0.0942445283775108,1.0,0.188547119380751,0.038547119380751,True,False,True
log_kvrh,element,O,2,geometry_descriptor_distance,0.15,True,1.0,0.1012083016797458,1.0,0.1909638197108715,0.0409638197108715,True,False,True
log_kvrh,element,O,2,geometry_rf_distance_hybrid,0.15,True,1.0,0.101256083899546,1.0,0.1909638197108715,0.0409638197108715,True,False,True
log_kvrh,element,O,2,geometry_rf_ensemble_std,0.15,True,1.0,0.1025054670034429,1.0,0.1909638197108715,0.0409638197108715,True,False,True
log_kvrh,element,O,3,geometry_descriptor_distance,0.15,True,1.0,0.0989755742766482,1.0,0.1981470542544513,0.0481470542544513,True,False,True
log_kvrh,element,O,3,geometry_rf_distance_hybrid,0.15,True,1.0,0.0984403014988669,0.99953531598513,0.1982122394755952,0.0482122394755951,True,False,True
log_kvrh,element,O,3,geometry_rf_ensemble_std,0.15,True,1.0,0.0992804415328432,1.0,0.1981470542544513,0.0481470542544513,True,False,True
log_kvrh,element,O,4,geometry_descriptor_distance,0.15,True,1.0,0.0957114585637365,1.0,0.1914469214608202,0.0414469214608202,True,False,True
log_kvrh,element,O,4,geometry_rf_distance_hybrid,0.15,True,1.0,0.0964750833589432,0.99953531598513,0.1914018084783803,0.0414018084783803,True,False,True
log_kvrh,element,O,4,geometry_rf_ensemble_std,0.15,True,1.0,0.0963140900498769,1.0,0.1914469214608202,0.0414469214608202,True,False,True
