task,shift_type,holdout,repeat,policy_geometry,epsilon_geometry,policy_constructed_geometry,calibration_coverage_geometry,calibration_ucb95_geometry,ood_coverage_geometry,ood_retained_mae_geometry,risk_violation_geometry,risk_breach_geometry,coverage_failure_geometry,operational_failure_geometry,baseline_policy,seed,policy_composition,epsilon_composition,primary_tolerance,policy_constructed_composition,calibration_coverage_composition,calibration_ucb95_composition,ood_coverage_composition,ood_retained_mae_composition,risk_violation_composition,risk_breach_composition,coverage_failure_composition,operational_failure_composition,ood_spearman,ood_aurc,ood_excess_aurc,shift_median_distance,shift_p90_distance,fraction_beyond_train_p99,element_novelty_fraction,delta_policy_constructed,delta_ood_coverage,delta_ood_retained_mae,delta_risk_violation,delta_operational_failure
log_kvrh,cluster,C3,1,geometry_rf_distance_hybrid,0.15,True,1.0,0.100282995526734,0.975,0.1199604858406617,-0.0300395141593382,False,False,False,rf_distance_hybrid,20260725,rf_distance_hybrid,0.15,True,True,1.0,0.119982593276283,0.99,0.2267952199544239,0.0767952199544239,True,False,True,0.3263444878630548,0.1776565071415118,0.1019818499745801,9.816505591625504,23.67945149479618,0.67875,0.0,0.0,-0.015000000000000013,-0.1068347341137622,-0.1068347341137621,-1.0
log_kvrh,cluster,C3,1,geometry_rf_ensemble_std,0.15,True,1.0,0.0994564511057268,1.0,0.1234870247979521,-0.0265129752020478,False,False,False,rf_ensemble_std,20260725,rf_ensemble_std,0.15,True,True,1.0,0.1198093403661924,1.0,0.2273232657444835,0.0773232657444835,True,False,True,0.2990768239181395,0.1798086680462547,0.104134010879323,9.816505591625504,23.67945149479618,0.67875,0.0,0.0,0.0,-0.1038362409465314,-0.10383624094653131,-1.0
log_kvrh,cluster,C3,2,geometry_descriptor_distance,0.15,True,1.0,0.102505069193595,0.63125,0.1076556434259228,-0.0423443565740771,False,False,False,descriptor_distance,20260726,descriptor_distance,0.15,True,True,1.0,0.1236185666395146,0.62625,0.1613558112754964,0.0113558112754964,True,False,True,0.1928786855650344,0.1686669760579383,0.100072861075618,10.074948520979264,21.928231302782383,0.645,0.0,0.0,0.0050000000000000044,-0.053700167849573585,-0.0537001678495735,-1.0
log_kvrh,cluster,C3,2,geometry_rf_distance_hybrid,0.15,True,1.0,0.1032520451232855,0.97375,0.120135618471249,-0.0298643815287509,False,False,False,rf_distance_hybrid,20260726,rf_distance_hybrid,0.15,True,True,1.0,0.1238503889733031,0.72125,0.1769164245972207,0.0269164245972207,True,False,True,0.3888457490436485,0.1343439702767214,0.0657498552944012,10.074948520979264,21.928231302782383,0.645,0.0,0.0,0.25250000000000006,-0.05678080612597171,-0.0567808061259716,-1.0
log_kvrh,cluster,C3,2,geometry_rf_ensemble_std,0.15,True,1.0,0.1030727968973395,0.995,0.1231774664377518,-0.0268225335622481,False,False,False,rf_ensemble_std,20260726,rf_ensemble_std,0.15,True,True,1.0,0.1243671073216279,1.0,0.1984104869256495,0.0484104869256495,True,False,True,0.3786687411715809,0.1359393175010885,0.0673452025187682,10.074948520979264,21.928231302782383,0.645,0.0,0.0,-0.0050000000000000044,-0.07523302048789769,-0.0752330204878976,-1.0
log_kvrh,cluster,C3,3,geometry_descriptor_distance,0.15,True,1.0,0.1025576159096729,0.99375,0.1238554513866733,-0.0261445486133267,False,False,False,descriptor_distance,20260727,descriptor_distance,0.15,True,True,1.0,0.1202274569390826,0.995,0.2007800197264553,0.0507800197264553,True,False,True,0.1933197515477169,0.1714248414506553,0.0987811897018328,9.71204495271537,21.587935962499447,0.6675,0.0,0.0,-0.0012499999999999734,-0.07692456833978199,-0.076924568339782,-1.0
log_kvrh,cluster,C3,3,geometry_rf_distance_hybrid,0.15,True,1.0,0.101835732019649,0.98,0.1224491162133949,-0.027550883786605,False,False,False,rf_distance_hybrid,20260727,rf_distance_hybrid,0.15,True,True,1.0,0.1203371378446267,0.72625,0.1796513741190261,0.0296513741190261,True,False,True,0.399842623838348,0.1461536881885054,0.0735100364396829,9.71204495271537,21.587935962499447,0.6675,0.0,0.0,0.25375000000000003,-0.0572022579056312,-0.057202257905631104,-1.0
log_kvrh,cluster,C3,3,geometry_rf_ensemble_std,0.15,True,1.0,0.1013661429402176,0.99875,0.1240490693545734,-0.0259509306454265,False,False,False,rf_ensemble_std,20260727,rf_ensemble_std,0.15,True,True,1.0,0.1198026699437998,0.99375,0.199942603251135,0.049942603251135,True,False,True,0.3999672202404277,0.1452390394395649,0.0725953876907424,9.71204495271537,21.587935962499447,0.6675,0.0,0.0,0.0050000000000000044,-0.0758935338965616,-0.0758935338965615,-1.0
log_kvrh,cluster,C3,4,geometry_descriptor_distance,0.15,True,1.0,0.1045313241556668,0.86125,0.1188902608858865,-0.0311097391141134,False,False,False,descriptor_distance,20260728,descriptor_distance,0.15,True,True,1.0,0.1239868084230351,0.86875,0.1855355767935163,0.0355355767935163,True,False,True,0.3143991441498462,0.1651291984216361,0.0897542913642666,10.41371960520286,26.57452575341681,0.6875,0.0,0.0,-0.007500000000000062,-0.06664531590762979,-0.0666453159076297,-1.0
log_kvrh,cluster,C3,4,geometry_rf_distance_hybrid,0.15,True,1.0,0.1053089549890058,0.97,0.1223985888246869,-0.027601411175313,False,False,False,rf_distance_hybrid,20260728,rf_distance_hybrid,0.15,True,True,1.0,0.1239639538632968,0.9875,0.2215557047989435,0.0715557047989435,True,False,True,0.3952071650841909,0.1531985600495847,0.0778236529922153,10.41371960520286,26.57452575341681,0.6875,0.0,0.0,-0.01750000000000007,-0.09915711597425658,-0.0991571159742565,-1.0
log_kvrh,cluster,C3,4,geometry_rf_ensemble_std,0.15,True,1.0,0.1049259978936058,0.9975,0.1249257109477143,-0.0250742890522856,False,False,False,rf_ensemble_std,20260728,rf_ensemble_std,0.15,True,True,1.0,0.124772465794085,1.0,0.2209816371479454,0.0709816371479454,True,False,True,0.3694213990975691,0.1567579492066081,0.0813830421492386,10.41371960520286,26.57452575341681,0.6875,0.0,0.0,-0.0024999999999999467,-0.09605592620023108,-0.09605592620023101,-1.0
log_kvrh,element,Al,0,geometry_descriptor_distance,0.15,True,1.0,0.1062148570577721,1.0,0.0764009794400455,-0.0735990205599544,False,False,False,descriptor_distance,20260724,descriptor_distance,0.15,True,True,1.0,0.1223469642546705,1.0,0.1019390633215366,-0.0480609366784633,False,False,False,0.0087519328672787,0.1112171372875315,0.0727888200912307,2.9237702108109023,4.222562467079066,0.0013071895424836,1.0,0.0,0.0,-0.025538083881491105,-0.025538083881491105,0.0
log_kvrh,element,Al,0,geometry_rf_distance_hybrid,0.15,True,1.0,0.1060761259923565,1.0,0.0764009794400455,-0.0735990205599544,False,False,False,rf_distance_hybrid,20260724,rf_distance_hybrid,0.15,True,True,1.0,0.1224089735171601,1.0,0.1019390633215366,-0.0480609366784633,False,False,False,0.1741847085393817,0.0877231326137931,0.0492948154174923,2.9237702108109023,4.222562467079066,0.0013071895424836,1.0,0.0,0.0,-0.025538083881491105,-0.025538083881491105,0.0
log_kvrh,element,Al,0,geometry_rf_ensemble_std,0.15,True,1.0,0.1065322531472426,1.0,0.0764009794400455,-0.0735990205599544,False,False,False,rf_ensemble_std,20260724,rf_ensemble_std,0.15,True,True,1.0,0.1218343837953903,1.0,0.1019390633215366,-0.0480609366784633,False,False,False,0.2054819838478749,0.0810673532104335,0.0426390360141327,2.9237702108109023,4.222562467079066,0.0013071895424836,1.0,0.0,0.0,-0.025538083881491105,-0.025538083881491105,0.0
log_kvrh,element,Al,1,geometry_descriptor_distance,0.15,True,1.0,0.1072765328017491,1.0,0.0759939708240614,-0.0740060291759385,False,False,False,descriptor_distance,20260725,descriptor_distance,0.15,True,True,1.0,0.1305864358160799,1.0,0.1035131509573012,-0.0464868490426987,False,False,False,0.0012751639562444,0.1131931626796276,0.0744030719428161,2.8946969373181983,4.268666611929965,0.0013071895424836,1.0,0.0,0.0,-0.0275191801332398,-0.0275191801332398,0.0
log_kvrh,element,Al,1,geometry_rf_distance_hybrid,0.15,True,1.0,0.1064430740486968,1.0,0.0759939708240614,-0.0740060291759385,False,False,False,rf_distance_hybrid,20260725,rf_distance_hybrid,0.15,True,True,1.0,0.1299879592268246,1.0,0.1035131509573012,-0.0464868490426987,False,False,False,0.1070039297469922,0.0969007684200833,0.0581106776832718,2.8946969373181983,4.268666611929965,0.0013071895424836,1.0,0.0,0.0,-0.0275191801332398,-0.0275191801332398,0.0
log_kvrh,element,Al,1,geometry_rf_ensemble_std,0.15,True,1.0,0.1070174732603205,1.0,0.0759939708240614,-0.0740060291759385,False,False,False,rf_ensemble_std,20260725,rf_ensemble_std,0.15,True,True,1.0,0.1295395265218026,1.0,0.1035131509573012,-0.0464868490426987,False,False,False,0.1157145997546406,0.0952837980001148,0.0564937072633032,2.8946969373181983,4.268666611929965,0.0013071895424836,1.0,0.0,0.0,-0.0275191801332398,-0.0275191801332398,0.0
