task,holdout_family,repeat,seed,split_hash,policy,epsilon,n_train,n_calibration,n_ood,policy_constructed,threshold,calibration_coverage,calibration_mae,calibration_mae_ucb95,ood_mae_all,ood_coverage,ood_retained_mae,risk_violation,ood_spearman,calibration_aurc,ood_aurc
expt_gap,pnictide,0,20260724,ee93f090e47e1d4e,ensemble_std,0.5,3315,829,460,True,0.5024426284169492,0.8998793727382388,0.43210287760150295,0.47892537379773337,0.6302654106055212,0.9065217391304348,0.6424961984850719,0.1424961984850719,0.3857130479559235,0.1845141849860672,0.6160658955329663
expt_gap,pnictide,0,20260724,ee93f090e47e1d4e,descriptor_distance,0.5,3315,829,460,False,,0.0,,,0.6302654106055212,0.0,,,-0.13346206438740651,0.5421174728913654,0.6765075555378472
expt_gap,pnictide,0,20260724,ee93f090e47e1d4e,equal_rank_hybrid,0.5,3315,829,460,True,0.6833534378769602,0.8588661037394452,0.4455771432321459,0.4970339043462086,0.6302654106055212,0.391304347826087,0.7026500450185706,0.20265004501857065,0.21247208013749425,0.2970151915110597,0.6691802345096948
expt_gap,pnictide,1,20260725,ee93f090e47e1d4e,ensemble_std,0.5,3316,828,460,True,0.7711893619511523,0.9589371980676329,0.44865254053112275,0.48537820646761926,0.6223644097852467,0.9934782608695653,0.6156081424182873,0.11560814241828732,0.33449786696122513,0.15746190556955766,0.6077917748838919
expt_gap,pnictide,1,20260725,ee93f090e47e1d4e,descriptor_distance,0.5,3316,828,460,False,,0.0,,,0.6223644097852467,0.0,,,-0.16677395210028162,0.5249744890819286,0.6930370102446537
expt_gap,pnictide,1,20260725,ee93f090e47e1d4e,equal_rank_hybrid,0.5,3316,828,460,True,0.7548309178743962,0.9396135265700483,0.45227116071254087,0.49730655804323703,0.6223644097852467,0.6652173913043479,0.6268348039578185,0.12683480395781854,0.16955981699008124,0.2646374279640802,0.663550982251082
expt_gap,pnictide,2,20260726,ee93f090e47e1d4e,ensemble_std,0.5,3316,828,460,True,0.9922559549049748,0.9794685990338164,0.4601821090344732,0.49784318308253933,0.6173697796550619,0.991304347826087,0.6116970330112391,0.11169703301123912,0.32958415289100373,0.16507747716611093,0.6051039843929218
expt_gap,pnictide,2,20260726,ee93f090e47e1d4e,descriptor_distance,0.5,3316,828,460,False,,0.0,,,0.6173697796550619,0.0,,,-0.21047343586523007,0.5494829794866212,0.7119649903798109
expt_gap,pnictide,2,20260726,ee93f090e47e1d4e,equal_rank_hybrid,0.5,3316,828,460,True,0.768719806763285,0.9396135265700483,0.4586876989202214,0.49644417932522694,0.6173697796550619,0.8717391304347826,0.59240259964702,0.09240259964702002,0.13127974736828732,0.2817084788797064,0.7179542137890299
expt_gap,pnictide,3,20260727,ee93f090e47e1d4e,ensemble_std,0.5,3316,828,460,True,1.7592337166137553,1.0,0.45084785337392663,0.48561951915446805,0.6500754631487728,1.0,0.6500754631487728,0.15007546314877285,0.34282832697101684,0.16569512412108978,0.6069838851263106
expt_gap,pnictide,3,20260727,ee93f090e47e1d4e,descriptor_distance,0.5,3316,828,460,True,13.163700697883277,1.0,0.45084785337392663,0.49398133284944734,0.6500754631487728,0.9760869565217392,0.6404445274895496,0.1404445274895496,-0.13729104032671477,0.448072362454825,0.7148513567100453
expt_gap,pnictide,3,20260727,ee93f090e47e1d4e,equal_rank_hybrid,0.5,3316,828,460,True,0.9607487922705313,1.0,0.45084785337392663,0.49518616209973076,0.6500754631487728,0.9978260869565218,0.6511152329042551,0.1511152329042551,0.21063040360655433,0.251001391689166,0.6861985847356928
expt_gap,pnictide,4,20260728,ee93f090e47e1d4e,ensemble_std,0.5,3316,828,460,True,0.6373598228180868,0.9396135265700483,0.4469151409727593,0.4823565271560869,0.6885783380036095,0.9804347826086957,0.6786229739627588,0.17862297396275884,0.402735203732221,0.1737536766659863,0.6472331201826935
expt_gap,pnictide,4,20260728,ee93f090e47e1d4e,descriptor_distance,0.5,3316,828,460,False,,0.0,,,0.6885783380036095,0.0,,,-0.08558600487261907,0.5092377330922802,0.7057972856239008
expt_gap,pnictide,4,20260728,ee93f090e47e1d4e,equal_rank_hybrid,0.5,3316,828,460,True,0.78743961352657,0.9396135265700483,0.45759861769675636,0.49801676837213205,0.6885783380036095,0.6369565217391304,0.6485135823759304,0.14851358237593038,0.2538886966467888,0.29031574809112937,0.6901355955685158
expt_gap,pnictide,5,20260729,ee93f090e47e1d4e,ensemble_std,0.5,3315,829,460,True,0.8259087309674916,0.9794933655006032,0.4385991644173082,0.4783592610544444,0.6435509894890294,0.9934782608695653,0.6366144941521326,0.13661449415213256,0.17937034884634526,0.15497732075245907,0.6548412289671779
expt_gap,pnictide,5,20260729,ee93f090e47e1d4e,descriptor_distance,0.5,3315,829,460,False,,0.0,,,0.6435509894890294,0.0,,,-0.15244877957801647,0.5158245986715064,0.7049533744597647
expt_gap,pnictide,5,20260729,ee93f090e47e1d4e,equal_rank_hybrid,0.5,3315,829,460,True,0.8673100120627262,0.9794933655006032,0.4498226188339093,0.49334664276265144,0.6435509894890294,0.9565217391304348,0.6198769460757788,0.11987694607577881,0.026451285775493546,0.2746157261633807,0.754012411517772
expt_gap,pnictide,6,20260730,ee93f090e47e1d4e,ensemble_std,0.5,3316,828,460,True,1.0137734507342382,0.9794685990338164,0.44301810521387813,0.4855012150151502,0.6212078231166367,0.9934782608695653,0.6213759702743958,0.12137597027439584,0.3407695169502801,0.14587533732592847,0.6213310533406433
expt_gap,pnictide,6,20260730,ee93f090e47e1d4e,descriptor_distance,0.5,3316,828,460,True,1.9922012125565967,0.24033816425120774,0.4164542031803237,0.4953640582406775,0.6212078231166367,0.030434782608695653,0.8409082452071738,0.3409082452071738,-0.14933459200025842,0.4977390442423073,0.6804863200686343
expt_gap,pnictide,6,20260730,ee93f090e47e1d4e,equal_rank_hybrid,0.5,3316,828,460,True,0.8520531400966184,0.9794685990338164,0.46173976378562487,0.4968086095556336,0.6212078231166367,0.9304347826086956,0.6287817742007678,0.12878177420076775,0.1643377451172926,0.25034606682276345,0.6738767417981182
expt_gap,pnictide,7,20260731,ee93f090e47e1d4e,ensemble_std,0.5,3313,831,460,True,0.7185085090325873,0.9398315282791817,0.4447607660313358,0.4828682312182033,0.6515243273143319,0.9956521739130435,0.6475888259451406,0.14758882594514056,0.2311611525314564,0.17210216522982427,0.6954454606264688
expt_gap,pnictide,7,20260731,ee93f090e47e1d4e,descriptor_distance,0.5,3313,831,460,False,,0.0,,,0.6515243273143319,0.0,,,-0.20946170568836794,0.5473450044405538,0.7466025549322792
expt_gap,pnictide,7,20260731,ee93f090e47e1d4e,equal_rank_hybrid,0.5,3313,831,460,True,0.6961492178098676,0.8796630565583634,0.44377610383112903,0.48194610567624824,0.6515243273143319,0.7282608695652174,0.6791515257773638,0.17915152577736382,0.03884940718265405,0.2774779948614797,0.7907514840572709
expt_gap,pnictide,8,20260732,ee93f090e47e1d4e,ensemble_std,0.5,3316,828,460,True,0.9136454911650563,0.9794685990338164,0.4375594800762266,0.47079680725368356,0.6334362758858256,0.9891304347826086,0.6172507057260773,0.11725070572607732,0.12784738302260776,0.1512390982996487,0.6736648058327042
expt_gap,pnictide,8,20260732,ee93f090e47e1d4e,descriptor_distance,0.5,3316,828,460,True,2.54213523913462,0.35990338164251207,0.4372874041299309,0.4926246622498607,0.6334362758858256,0.02826086956521739,0.842678747988123,0.34267874798812303,-0.15774122847338934,0.45452004808441415,0.7008187173709302
expt_gap,pnictide,8,20260732,ee93f090e47e1d4e,equal_rank_hybrid,0.5,3316,828,460,True,0.8121980676328502,0.9589371980676329,0.4536840200295093,0.4944582237049655,0.6334362758858256,0.8630434782608696,0.6168715853225836,0.11687158532258357,0.019632178365962035,0.23025373192086157,0.7337291700541184
expt_gap,pnictide,9,20260733,ee93f090e47e1d4e,ensemble_std,0.5,3315,829,460,True,0.7014591645485913,0.9589867310012062,0.4423243335436618,0.47812454940560944,0.6205537189813332,0.991304347826087,0.6200733926870342,0.12007339268703421,0.17943202129494032,0.18051667375752672,0.6255629518858334
expt_gap,pnictide,9,20260733,ee93f090e47e1d4e,descriptor_distance,0.5,3315,829,460,False,,0.0,,,0.6205537189813332,0.0,,,-0.1406755049826978,0.534809133259885,0.6735915034154029
expt_gap,pnictide,9,20260733,ee93f090e47e1d4e,equal_rank_hybrid,0.5,3315,829,460,True,0.8039806996381182,0.9589867310012062,0.45666980442280014,0.4948865317068147,0.6205537189813332,0.8847826086956522,0.6379133777971078,0.13791337779710777,0.021412135299444964,0.29875015410366235,0.7025564858978063
log_kvrh,other,0,20260724,492cabb52a18b994,ensemble_std,0.15,4471,1112,5404,True,0.0876760268048218,0.7994604316546763,0.13838110835502546,0.1490116227288802,0.231610970817528,0.7648038490007402,0.217499856974422,0.06749985697442201,0.2235257326351594,0.11781487822937783,0.19615014518843843
log_kvrh,other,0,20260724,492cabb52a18b994,descriptor_distance,0.15,4471,1112,5404,False,,0.0,,,0.231610970817528,0.0,,,0.11569076940161833,0.16855437918111965,0.20841750056854838
log_kvrh,other,0,20260724,492cabb52a18b994,equal_rank_hybrid,0.15,4471,1112,5404,True,0.5881294964028777,0.6600719424460432,0.1396040471099456,0.1494714578656494,0.231610970817528,0.14008142116950406,0.16551307491482706,0.015513074914827063,0.247257050242148,0.1317399346453207,0.1920737362109982
