task,holdout_family,repeat,policy,coverage,ood_risk
expt_gap,chalcogenide,6,equal_rank_hybrid,0.8005637773079634,0.8916639126405447
expt_gap,chalcogenide,6,equal_rank_hybrid,0.9006342494714588,0.8609645345662769
expt_gap,chalcogenide,6,equal_rank_hybrid,1.0,0.8408850591479727
expt_gap,chalcogenide,7,ensemble_std,0.10007047216349542,0.6756146724416868
expt_gap,chalcogenide,7,ensemble_std,0.20014094432699084,0.8343286272099351
expt_gap,chalcogenide,7,ensemble_std,0.30021141649048627,0.8180196903254203
expt_gap,chalcogenide,7,ensemble_std,0.4002818886539817,0.8228721363860072
expt_gap,chalcogenide,7,ensemble_std,0.5003523608174771,0.8132282598500253
expt_gap,chalcogenide,7,ensemble_std,0.6004228329809725,0.7942758989369372
expt_gap,chalcogenide,7,ensemble_std,0.700493305144468,0.800641574876776
expt_gap,chalcogenide,7,ensemble_std,0.8005637773079634,0.7975225588010089
expt_gap,chalcogenide,7,ensemble_std,0.9006342494714588,0.8080793926068418
expt_gap,chalcogenide,7,ensemble_std,1.0,0.8136084437456484
expt_gap,chalcogenide,7,descriptor_distance,0.10007047216349542,0.6866857577031991
expt_gap,chalcogenide,7,descriptor_distance,0.20014094432699084,0.748847881284735
expt_gap,chalcogenide,7,descriptor_distance,0.30021141649048627,0.8348297220061751
expt_gap,chalcogenide,7,descriptor_distance,0.4002818886539817,0.8692470123906435
expt_gap,chalcogenide,7,descriptor_distance,0.5003523608174771,0.8684448507137116
expt_gap,chalcogenide,7,descriptor_distance,0.6004228329809725,0.8692161780242076
expt_gap,chalcogenide,7,descriptor_distance,0.700493305144468,0.865792237070518
expt_gap,chalcogenide,7,descriptor_distance,0.8005637773079634,0.8392446418302688
expt_gap,chalcogenide,7,descriptor_distance,0.9006342494714588,0.8271293009307776
expt_gap,chalcogenide,7,descriptor_distance,1.0,0.8136084437456469
expt_gap,chalcogenide,7,equal_rank_hybrid,0.10007047216349542,0.6701349264513621
expt_gap,chalcogenide,7,equal_rank_hybrid,0.20014094432699084,0.8011509500848214
expt_gap,chalcogenide,7,equal_rank_hybrid,0.30021141649048627,0.8260314138917573
expt_gap,chalcogenide,7,equal_rank_hybrid,0.4002818886539817,0.8559861044880626
expt_gap,chalcogenide,7,equal_rank_hybrid,0.5003523608174771,0.8627935714911692
expt_gap,chalcogenide,7,equal_rank_hybrid,0.6004228329809725,0.8488149258361203
expt_gap,chalcogenide,7,equal_rank_hybrid,0.700493305144468,0.8503071883694179
expt_gap,chalcogenide,7,equal_rank_hybrid,0.8005637773079634,0.8440107823320462
expt_gap,chalcogenide,7,equal_rank_hybrid,0.9006342494714588,0.8252346560551646
expt_gap,chalcogenide,7,equal_rank_hybrid,1.0,0.8136084437456473
expt_gap,chalcogenide,8,ensemble_std,0.10007047216349542,0.8056632112923839
expt_gap,chalcogenide,8,ensemble_std,0.20014094432699084,0.7476504492915492
expt_gap,chalcogenide,8,ensemble_std,0.30021141649048627,0.7798884397184541
expt_gap,chalcogenide,8,ensemble_std,0.4002818886539817,0.8287633548163592
expt_gap,chalcogenide,8,ensemble_std,0.5003523608174771,0.8594646326018612
expt_gap,chalcogenide,8,ensemble_std,0.6004228329809725,0.8734769687253825
expt_gap,chalcogenide,8,ensemble_std,0.700493305144468,0.8715879753524364
expt_gap,chalcogenide,8,ensemble_std,0.8005637773079634,0.8375228972154296
expt_gap,chalcogenide,8,ensemble_std,0.9006342494714588,0.8316380470221117
expt_gap,chalcogenide,8,ensemble_std,1.0,0.8193080968646673
expt_gap,chalcogenide,8,descriptor_distance,0.10007047216349542,0.6385091587053714
expt_gap,chalcogenide,8,descriptor_distance,0.20014094432699084,0.7254563419188464
expt_gap,chalcogenide,8,descriptor_distance,0.30021141649048627,0.8139066462682204
expt_gap,chalcogenide,8,descriptor_distance,0.4002818886539817,0.843487192199643
