task,shift_type,holdout,repeat,policy,epsilon,retained_mae,mae_ci_low,mae_ci_high,violation_ci_low,violation_ci_high,n_retained,n_groups_retained
log_kvrh,element,Cu,6,rf_ensemble_std,0.15,0.12076770897315539,0.11118065637512858,0.12774042225189414,-0.03881934362487141,-0.022259577748105858,714,634
log_kvrh,element,Cu,7,descriptor_distance,0.15,0.12172451664356132,0.11210557598135228,0.13136102207419167,-0.03789442401864772,-0.01863897792580832,714,634
log_kvrh,element,Cu,7,quantile_width,0.15,0.12277104898731901,0.11392176072792447,0.13249906326414312,-0.03607823927207553,-0.01750093673585687,714,634
log_kvrh,element,Cu,7,rf_distance_hybrid,0.15,0.12172451664356132,0.11181731993100266,0.13089898309266135,-0.03818268006899733,-0.019101016907338647,714,634
log_kvrh,element,Cu,7,rf_ensemble_std,0.15,0.12179002478900511,0.11212751651790909,0.13066888168523225,-0.03787248348209091,-0.019331118314767748,713,633
log_kvrh,element,Cu,8,descriptor_distance,0.15,0.12556700717309796,0.11628908486004082,0.13518665238755023,-0.03371091513995918,-0.014813347612449762,714,634
log_kvrh,element,Cu,8,quantile_width,0.15,0.12418391467273168,0.11568694541956138,0.13350369555420266,-0.03431305458043861,-0.016496304445797333,714,634
log_kvrh,element,Cu,8,rf_distance_hybrid,0.15,0.12556700717309796,0.11666018354232205,0.13649401776459338,-0.033339816457677945,-0.01350598223540661,714,634
log_kvrh,element,Cu,8,rf_ensemble_std,0.15,0.12556700717309796,0.11510755565030424,0.13404363390049603,-0.03489244434969575,-0.01595636609950396,714,634
log_kvrh,element,Cu,9,descriptor_distance,0.15,0.12428226192849098,0.11657962408614764,0.13325442449619562,-0.03342037591385236,-0.016745575503804372,714,634
log_kvrh,element,Cu,9,quantile_width,0.15,0.11929929141485016,0.11100915211472168,0.12884586585105695,-0.03899084788527832,-0.021154134148943043,714,634
log_kvrh,element,Cu,9,rf_distance_hybrid,0.15,0.12428226192849098,0.11442366505149451,0.13411697231902667,-0.035576334948505484,-0.015883027680973327,714,634
log_kvrh,element,Cu,9,rf_ensemble_std,0.15,0.12428226192849098,0.11303048680063271,0.13423199953723008,-0.03696951319936728,-0.01576800046276991,714,634
log_kvrh,element,Li,0,descriptor_distance,0.15,0.15773449972395115,0.1474560538317238,0.1695307473820994,-0.00254394616827619,0.019530747382099395,893,772
log_kvrh,element,Li,0,quantile_width,0.15,0.1619466915235975,0.15279740625165347,0.17331090884696634,0.002797406251653478,0.02331090884696635,893,772
log_kvrh,element,Li,0,rf_distance_hybrid,0.15,0.15773449972395115,0.14634697374556233,0.1684671771776372,-0.003653026254437669,0.018467177177637212,893,772
log_kvrh,element,Li,0,rf_ensemble_std,0.15,0.15773449972395115,0.14722988192206454,0.1662392147888012,-0.0027701180779354517,0.016239214788801193,893,772
log_kvrh,element,Li,1,descriptor_distance,0.15,0.15259252449376592,0.1433479830932568,0.16203671282502444,-0.006652016906743191,0.012036712825024443,893,772
log_kvrh,element,Li,1,quantile_width,0.15,0.16364755341356446,0.1532988629729601,0.17584960736932723,0.003298862972960115,0.025849607369327232,893,772
log_kvrh,element,Li,1,rf_distance_hybrid,0.15,0.15259252449376592,0.14154641278423313,0.1639786911154137,-0.008453587215766861,0.013978691115413694,893,772
log_kvrh,element,Li,1,rf_ensemble_std,0.15,0.15259252449376592,0.14327284777043778,0.16178644130255893,-0.006727152229562217,0.011786441302558931,893,772
log_kvrh,element,Li,2,descriptor_distance,0.15,0.15271789217220444,0.14123993319248743,0.162979079315486,-0.008760066807512568,0.012979079315486003,893,772
log_kvrh,element,Li,2,quantile_width,0.15,0.16277717007206471,0.1515113411616619,0.17485081096064908,0.0015113411616619055,0.02485081096064909,893,772
log_kvrh,element,Li,2,rf_distance_hybrid,0.15,0.15271789217220444,0.14419188319108484,0.16294156931094025,-0.005808116808915159,0.01294156931094026,893,772
log_kvrh,element,Li,2,rf_ensemble_std,0.15,0.15279111468793166,0.1439124586279496,0.16407489846708365,-0.006087541372050392,0.014074898467083652,892,771
log_kvrh,element,Li,3,descriptor_distance,0.15,0.14942514269737128,0.14056442371492256,0.15969445250004927,-0.009435576285077435,0.009694452500049272,893,772
log_kvrh,element,Li,3,quantile_width,0.15,0.15864979569091633,0.14885127841220228,0.17105617182126606,-0.0011487215877977186,0.021056171821266068,893,772
