task,holdout_family,model,policy,n_train,n_calibration,n_ood,epsilon,ood_mae_all,ood_rmse_all,policy_constructed,threshold,calibration_coverage,calibration_mae,ood_coverage,ood_retained_mae,risk_violation
expt_gap,pnictide,ridge,none,3315,829,460,0.5,0.6323524829254259,0.8470624945271034,,,,,,,
expt_gap,pnictide,random_forest,ensemble_std,3315,829,460,0.5,0.6321496790890236,0.9766876952082263,True,3.0869747743154337,1.0,0.46990064805869003,1.0,0.6321496790890236,0.13214967908902364
expt_gap,pnictide,random_forest,descriptor_distance,3315,829,460,0.5,0.6321496790890236,0.9766876952082263,True,12.015198994639055,1.0,0.46990064805868936,0.9478260869565217,0.62617656992326,0.12617656992325998
expt_gap,pnictide,random_forest,equal_rank_hybrid,3315,829,460,0.5,0.6321496790890236,0.9766876952082263,True,0.9782870928829915,1.0,0.46990064805869003,0.9978260869565218,0.632615423309238,0.13261542330923803
log_kvrh,other,ridge,none,4466,1117,5404,0.15,0.26657084133574016,0.33041039385159465,,,,,,,
log_kvrh,other,random_forest,ensemble_std,4466,1117,5404,0.15,0.2659413178742733,0.32761501550975286,True,0.4398273931293634,1.0,0.14072760900384387,0.9972242783123613,0.264781658643148,0.11478165864314802
log_kvrh,other,random_forest,descriptor_distance,4466,1117,5404,0.15,0.2659413178742733,0.32761501550975286,True,11.0550390823664,1.0,0.14072760900384396,0.8029237601776462,0.2574019482531423,0.10740194825314228
log_kvrh,other,random_forest,equal_rank_hybrid,4466,1117,5404,0.15,0.2659413178742733,0.32761501550975286,True,0.9673231871083259,1.0,0.14072760900384396,0.7270540340488527,0.22258688375998067,0.07258688375998068
log_kvrh,oxide,ridge,none,7042,1761,2184,0.15,0.24539661621921005,0.29609848371938846,,,,,,,
log_kvrh,oxide,random_forest,ensemble_std,7042,1761,2184,0.15,0.2494290342457113,0.31512162454618886,True,0.7749834011191543,1.0,0.10590562958555348,1.0,0.2494290342457113,0.09942903424571131
log_kvrh,oxide,random_forest,descriptor_distance,7042,1761,2184,0.15,0.2494290342457113,0.31512162454618886,True,23.70547002137157,1.0,0.10590562958555359,1.0,0.2494290342457113,0.09942903424571131
log_kvrh,oxide,random_forest,equal_rank_hybrid,7042,1761,2184,0.15,0.2494290342457113,0.31512162454618886,True,0.9832481544576945,1.0,0.10590562958555348,0.9995421245421245,0.24932385838367585,0.09932385838367586
log_kvrh,pnictide,ridge,none,7641,1910,1436,0.15,0.23218177909915894,0.30637236362247194,,,,,,,
log_kvrh,pnictide,random_forest,ensemble_std,7641,1910,1436,0.15,0.1462937261190135,0.21156416821853383,True,0.5466945498765626,1.0,0.121658164651503,1.0,0.1462937261190135,-0.003706273880986488
log_kvrh,pnictide,random_forest,descriptor_distance,7641,1910,1436,0.15,0.1462937261190135,0.21156416821853383,True,36.697179399506915,1.0,0.12165816465150295,1.0,0.1462937261190135,-0.003706273880986488
log_kvrh,pnictide,random_forest,equal_rank_hybrid,7641,1910,1436,0.15,0.1462937261190135,0.21156416821853383,True,0.974869109947644,1.0,0.12165816465150298,0.9637883008356546,0.14396892522498675,-0.006031074775013245
log_kvrh,chalcogenide,ridge,none,7926,1982,1079,0.15,0.24930942824409774,0.30698483007101623,,,,,,,
log_kvrh,chalcogenide,random_forest,ensemble_std,7926,1982,1079,0.15,0.27558621456734866,0.387759199448909,True,0.7173427775987316,1.0,0.1078033543352609,1.0,0.27558621456734866,0.12558621456734867
log_kvrh,chalcogenide,random_forest,descriptor_distance,7926,1982,1079,0.15,0.27558621456734866,0.387759199448909,True,20.74193949450297,1.0,0.10780335433526073,0.9703429101019463,0.2693151048413888,0.11931510484138882
log_kvrh,chalcogenide,random_forest,equal_rank_hybrid,7926,1982,1079,0.15,0.27558621456734866,0.387759199448909,True,0.9891523713420787,1.0,0.10780335433526075,0.9851714550509731,0.2746030978650627,0.12460309786506271
log_kvrh,halide,ridge,none,8082,2021,884,0.15,0.3658705096780239,0.4306496498478574,,,,,,,
log_kvrh,halide,random_forest,ensemble_std,8082,2021,884,0.15,0.4312498486257167,0.5431375998908212,True,0.6227849522925658,1.0,0.10188146484546608,0.9932126696832579,0.4306587401177521,0.28065874011775216
log_kvrh,halide,random_forest,descriptor_distance,8082,2021,884,0.15,0.4312498486257167,0.5431375998908212,True,25.836407728136184,1.0,0.10188146484546624,0.917420814479638,0.3888063782493346,0.23880637824933462
log_kvrh,halide,random_forest,equal_rank_hybrid,8082,2021,884,0.15,0.4312498486257167,0.5431375998908212,True,0.9861454725383474,1.0,0.10188146484546615,0.8472850678733032,0.4445529527479893,0.2945529527479893
