task,shift_type,holdout,repeat,policy,epsilon,n_train,n_calibration,n_ood,policy_constructed,calibration_coverage,calibration_ucb95,ood_coverage,ood_retained_mae,risk_violation,ood_spearman,shift_median_distance,threshold
expt_gap,cluster,C1,1,rf_ensemble_std,0.5,3230,807,567,True,0.9591078066914498,0.4839082112363435,1.0,0.7695442627589542,0.26954426275895416,-0.044091674940542266,10.345242836800352,0.7569071985157633
expt_gap,cluster,C1,1,quantile_width,0.5,3230,807,567,True,0.7397769516728625,0.47718676716917924,0.9982363315696648,1.3440282685512368,0.8440282685512368,0.4407455836774795,10.345242836800352,2.763623918723287
expt_gap,cluster,C1,1,descriptor_distance,0.5,3230,807,567,False,0.0,,0.0,,,0.15769522592519675,10.345242836800352,
expt_gap,cluster,C1,1,rf_distance_hybrid,0.5,3230,807,567,True,0.919454770755886,0.4899326395981421,0.13756613756613756,0.8002467907341945,0.30024679073419447,-0.0301770916369455,10.345242836800352,0.7354399008674102
expt_gap,cluster,C1,2,rf_ensemble_std,0.5,3229,808,567,True,1.0,0.4996324431230994,1.0,0.7663419111992317,0.2663419111992317,-0.23890963063919018,9.087902312529577,1.7542283536853955
expt_gap,cluster,C1,2,quantile_width,0.5,3229,808,567,True,0.7599009900990099,0.48857432591944194,0.9982363315696648,1.3440282685512368,0.8440282685512368,0.47071515405890113,9.087902312529577,2.928608216805837
expt_gap,cluster,C1,2,descriptor_distance,0.5,3229,808,567,True,1.0,0.49836065914582206,0.9523809523809523,0.7548138994513777,0.25481389945137767,0.06416863970461009,9.087902312529577,12.843397044957342
expt_gap,cluster,C1,2,rf_distance_hybrid,0.5,3229,808,567,True,1.0,0.4919829244438299,1.0,0.7663419111992317,0.2663419111992317,-0.20312805670620163,9.087902312529577,0.9956683168316831
expt_gap,cluster,C2,0,rf_ensemble_std,0.5,3207,801,596,True,0.9400749063670412,0.4750227828260086,0.9865771812080537,1.1996584227225668,0.6996584227225668,0.052685100083651036,7.3172008706300335,0.6370406978422304
expt_gap,cluster,C2,0,quantile_width,0.5,3207,801,596,True,0.7602996254681648,0.47146633825944173,0.9848993288590604,1.8139352640545143,1.3139352640545143,0.3240064058814914,7.3172008706300335,2.478627477380424
expt_gap,cluster,C2,0,descriptor_distance,0.5,3207,801,596,False,0.0,,0.0,,,-0.0962610137669755,7.3172008706300335,
expt_gap,cluster,C2,0,rf_distance_hybrid,0.5,3207,801,596,True,0.9600499375780275,0.497698495026377,0.5453020134228188,1.2046520154282458,0.7046520154282458,0.020665738244227204,7.3172008706300335,0.8083645443196006
expt_gap,cluster,C2,1,rf_ensemble_std,0.5,3206,802,596,True,1.0,0.4639402993640477,1.0,1.2123432141935657,0.7123432141935657,-0.033122969682800166,7.288775301094887,3.239447584453565
expt_gap,cluster,C2,1,quantile_width,0.5,3206,802,596,True,0.8391521197007481,0.4921963799264134,0.9983221476510067,1.815731092436975,1.315731092436975,0.36679287443988995,7.288775301094887,3.0943293588301928
expt_gap,cluster,C2,1,descriptor_distance,0.5,3206,802,596,True,1.0,0.45985441373965674,0.9546979865771812,1.2070856449827452,0.7070856449827452,-0.053633058734775696,7.288775301094887,11.518151114932714
expt_gap,cluster,C2,1,rf_distance_hybrid,0.5,3206,802,596,True,1.0,0.4558837916641937,1.0,1.2123432141935657,0.7123432141935657,-0.07985386566069928,7.288775301094887,0.9950124688279302
expt_gap,cluster,C2,2,rf_ensemble_std,0.5,3206,802,596,True,0.9788029925187033,0.47916996776398263,0.9899328859060402,1.1611672179093004,0.6611672179093004,-0.09823950320937812,7.210254438427018,1.0040122885541205
